Player_ID,Team_ID,Game_ID,Matchup,Game_day,Result,MINS,PTS,FGM,FGA,FGP,PM3,PA3,P3P,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,ID,Name
201566,1610612747,0022100854,LAL @ GSW,2022-02-12,L,35,19,7,13,53.8,1,2,50.0,4,4,100.0,1,6,7,5,1,1,0,4,201566,Russell Westbrook
203076,1610612747,0022100854,LAL @ GSW,2022-02-12,L,35,16,5,13,38.5,0,1,0.0,6,10,60.0,2,5,7,4,0,0,3,3,203076,Anthony Davis
1626169,1610612747,0022100854,LAL @ GSW,2022-02-12,L,16,4,2,4,50.0,0,0,,0,0,,1,0,1,1,0,0,0,2,1626169,Stanley Johnson
1629308,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,0,0,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,1629308,Juan Toscano-Anderson
1630228,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,25,18,8,11,72.7,0,1,0.0,2,3,66.7,2,7,9,0,1,0,1,5,1630228,Jonathan Kuminga
201939,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,37,24,7,17,41.2,1,8,12.5,9,9,100.0,0,5,5,8,2,1,0,3,201939,Stephen Curry
202357,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,11,1,0,0,,0,0,,1,4,25.0,1,1,2,3,0,0,0,0,202357,Nemanja Bjelica
202691,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,30,33,12,22,54.5,5,9,55.6,4,5,80.0,0,5,5,0,1,0,0,3,202691,Klay Thompson
203490,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,24,2,1,5,20.0,0,2,0.0,0,0,,3,4,7,2,0,1,0,2,203490,Otto Porter Jr.
1627814,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,15,6,2,4,50.0,2,4,50.0,0,0,,1,2,3,2,1,1,1,1,1627814,Damion Lee
1629659,1610612747,0022100854,LAL @ GSW,2022-02-12,L,30,17,5,9,55.6,3,5,60.0,4,4,100.0,1,6,7,3,0,1,1,4,1629659,Talen Horton-Tucker
1630559,1610612747,0022100854,LAL @ GSW,2022-02-12,L,23,13,5,5,100.0,1,1,100.0,2,2,100.0,1,2,3,2,0,0,2,1,1630559,Austin Reaves
203952,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,33,19,7,15,46.7,3,7,42.9,2,5,40.0,0,4,4,1,0,1,1,3,203952,Andrew Wiggins
1626172,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,29,3,1,6,16.7,0,0,,1,2,50.0,2,10,12,3,1,0,0,3,1626172,Kevon Looney
1627780,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,11,0,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,1,0,0,2,1627780,Gary Payton II
2544,1610612747,0022100854,LAL @ GSW,2022-02-12,L,38,26,9,27,33.3,3,10,30.0,5,9,55.6,3,12,15,8,4,0,0,3,2544,LeBron James
1629673,1610612744,0022100854,GSW vs. LAL,2022-02-12,W,25,11,2,8,25.0,1,5,20.0,6,6,100.0,1,0,1,4,2,0,0,2,1629673,Jordan Poole
1628370,1610612747,0022100854,LAL @ GSW,2022-02-12,L,20,12,5,9,55.6,1,4,25.0,1,2,50.0,1,2,3,1,2,1,0,4,1628370,Malik Monk
2772,1610612747,0022100854,LAL @ GSW,2022-02-12,L,16,0,0,2,0.0,0,1,0.0,0,2,0.0,1,3,4,0,1,0,0,0,2772,Trevor Ariza
202340,1610612747,0022100854,LAL @ GSW,2022-02-12,L,26,8,3,6,50.0,2,3,66.7,0,0,,1,0,1,1,0,2,0,3,202340,Avery Bradley
101108,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,26,10,4,11,36.4,2,5,40.0,0,0,,0,5,5,15,2,2,0,2,101108,Chris Paul
201577,1610612753,0022100855,ORL @ PHX,2022-02-12,L,15,2,0,2,0.0,0,0,,2,4,50.0,0,3,3,0,3,0,0,1,201577,Robin Lopez
201580,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,14,8,4,8,50.0,0,0,,0,0,,1,6,7,1,0,1,1,5,201580,JaVale McGee
202687,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,7,2,1,2,50.0,0,0,,0,0,,0,2,2,0,1,0,0,3,202687,Bismack Biyombo
203109,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,25,11,4,7,57.1,1,4,25.0,2,2,100.0,0,7,7,2,0,0,0,1,203109,Jae Crowder
1626164,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,29,26,10,24,41.7,3,9,33.3,3,3,100.0,1,4,5,5,0,0,1,0,1626164,Devin Booker
1628988,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,9,10,4,5,80.0,2,3,66.7,0,0,,0,1,1,0,1,0,0,2,1628988,Aaron Holiday
1628964,1610612753,0022100855,ORL @ PHX,2022-02-12,L,23,6,2,4,50.0,2,2,100.0,0,0,,0,7,7,1,0,0,0,2,1628964,Mo Bamba
1628976,1610612753,0022100855,ORL @ PHX,2022-02-12,L,26,14,6,12,50.0,0,4,0.0,2,3,66.7,2,9,11,2,1,0,0,0,1628976,Wendell Carter Jr.
1629028,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,25,17,8,11,72.7,0,0,,1,2,50.0,2,8,10,1,0,0,0,0,1629028,Deandre Ayton
1629649,1610612753,0022100855,ORL @ PHX,2022-02-12,L,7,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,1,0,1,0,0,1629649,Ignas Brazdeikis
1630175,1610612753,0022100855,ORL @ PHX,2022-02-12,L,33,17,6,14,42.9,3,6,50.0,2,3,66.7,0,4,4,3,3,0,0,0,1630175,Cole Anthony
1630688,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,4,0,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,1630688,Ish Wainright
203082,1610612753,0022100855,ORL @ PHX,2022-02-12,L,21,13,5,10,50.0,3,5,60.0,0,0,,0,1,1,1,1,0,0,0,203082,Terrence Ross
203901,1610612756,0022100855,PHX vs. ORL,2022-02-12,W,22,10,4,11,36.4,2,2,100.0,0,2,0.0,2,4,6,9,1,1,0,2,203901,Elfrid Payton
203914,1610612753,0022100855,ORL @ PHX,2022-02-12,L,27,2,1,5,20.0,0,3,0.0,0,0,,0,1,1,2,0,1,0,0,203914,Gary Harris
