Name,PTS,FGM,FGA,PM3,PA3,AST,Game_day,Team
Clint Capela,18,7,10,0,0,0,2022-04-10,ATL
Timothe Luwawu-Cabarrot,0,0,1,0,1,0,2022-04-10,ATL
Kevin Knox II,1,0,2,0,2,0,2022-04-10,ATL
Trae Young,28,10,20,4,7,11,2022-04-10,ATL
De'Andre Hunter,22,7,13,4,4,0,2022-04-10,ATL
Skylar Mays,0,0,0,0,0,0,2022-04-10,ATL
Sharife Cooper,0,0,0,0,0,0,2022-04-10,ATL
Jalen Johnson,0,0,0,0,0,0,2022-04-10,ATL
Danilo Gallinari,26,9,14,6,8,2,2022-04-10,ATL
Bogdan Bogdanovic,14,5,14,4,9,7,2022-04-10,ATL
Delon Wright,2,0,1,0,1,3,2022-04-10,ATL
Kevin Huerter,11,4,8,3,6,5,2022-04-10,ATL
Onyeka Okongwu,8,3,4,0,0,1,2022-04-10,ATL
Al Horford,13,6,8,1,1,2,2022-04-10,BOS
Marcus Smart,4,2,7,0,4,6,2022-04-10,BOS
Jaylen Brown,18,8,16,2,7,4,2022-04-10,BOS
Jayson Tatum,31,11,14,6,8,3,2022-04-10,BOS
Derrick White,8,3,5,1,3,3,2022-04-10,BOS
Daniel Theis,11,5,8,0,1,3,2022-04-10,BOS
Malik Fitts,7,3,4,1,1,2,2022-04-10,BOS
Brodric Thomas,3,1,2,1,1,3,2022-04-10,BOS
Luke Kornet,10,5,7,0,1,2,2022-04-10,BOS
Grant Williams,9,2,7,1,4,1,2022-04-10,BOS
Payton Pritchard,12,4,8,2,5,4,2022-04-10,BOS
Sam Hauser,5,2,4,1,3,1,2022-04-10,BOS
Aaron Nesmith,5,1,4,1,4,0,2022-04-10,BOS
Matt Ryan,3,1,5,1,5,0,2022-04-10,BOS
Kevin Love,32,10,16,8,11,2,2022-04-10,CLE
Rajon Rondo,6,2,5,2,4,13,2022-04-10,CLE
Caris LeVert,6,2,7,0,5,6,2022-04-10,CLE
Lauri Markkanen,23,8,11,4,7,0,2022-04-10,CLE
Darius Garland,11,4,7,3,5,8,2022-04-10,CLE
Isaac Okoro,4,2,4,0,0,2,2022-04-10,CLE
Evan Mobley,18,8,13,0,0,1,2022-04-10,CLE
RJ Nembhard Jr.,0,0,1,0,0,0,2022-04-10,CLE
Cedi Osman,15,6,10,2,4,2,2022-04-10,CLE
Brandon Goodwin,0,0,2,0,0,1,2022-04-10,CLE
Moses Brown,8,4,5,0,0,0,2022-04-10,CLE
Dylan Windler,2,1,3,0,2,2,2022-04-10,CLE
Lamar Stevens,8,4,10,0,0,2,2022-04-10,CLE
Trey Murphy III,15,6,13,2,6,1,2022-04-10,NOP
Jose Alvarado,12,6,12,0,2,0,2022-04-10,NOP
Naji Marshall,19,8,15,0,4,6,2022-04-10,NOP
Jaxson Hayes,5,1,6,1,2,0,2022-04-10,NOP
Willy Hernangomez,8,3,11,0,0,2,2022-04-10,NOP
CJ McCollum,0,0,2,0,2,1,2022-04-10,NOP
Garrett Temple,6,2,8,2,5,0,2022-04-10,NOP
Tony Snell,8,3,7,2,6,2,2022-04-10,NOP
Larry Nance Jr.,7,3,7,1,2,0,2022-04-10,NOP
Jared Harper,10,4,9,2,6,9,2022-04-10,NOP
Gary Clark,17,6,9,4,5,3,2022-04-10,NOP
Tristan Thompson,10,4,6,0,0,0,2022-04-10,CHI
Derrick Jones Jr.,12,3,5,2,2,2,2022-04-10,CHI
Troy Brown Jr.,17,7,13,2,6,4,2022-04-10,CHI
Tyler Cook,3,1,2,0,0,0,2022-04-10,CHI
Tony Bradley,11,5,8,0,0,1,2022-04-10,CHI
Javonte Green,8,4,8,0,2,2,2022-04-10,CHI
Patrick Williams,35,10,21,3,4,4,2022-04-10,CHI
Ayo Dosunmu,26,9,18,3,6,6,2022-04-10,CHI
Malcolm Hill,2,1,2,0,1,3,2022-04-10,CHI
Josh Green,7,3,5,1,3,2,2022-04-10,DAL
Theo Pinson,16,5,5,4,4,2,2022-04-10,DAL
Marquese Chriss,6,2,7,0,0,0,2022-04-10,DAL
Spencer Dinwiddie,8,3,7,2,4,5,2022-04-10,DAL
Davis Bertans,8,3,4,2,3,0,2022-04-10,DAL
Reggie Bullock,4,1,6,1,3,2,2022-04-10,DAL
Trey Burke,3,1,3,1,1,4,2022-04-10,DAL
Dwight Powell,12,5,6,0,0,2,2022-04-10,DAL
Boban Marjanovic,4,2,4,0,1,1,2022-04-10,DAL
Dorian Finney-Smith,16,6,7,4,5,1,2022-04-10,DAL
Jalen Brunson,18,7,13,3,7,5,2022-04-10,DAL
Luka Doncic,26,8,18,2,5,9,2022-04-10,DAL
Moses Wright,2,0,0,0,0,1,2022-04-10,DAL
Jeff Green,16,7,8,0,1,2,2022-04-10,DEN
DeMarcus Cousins,17,5,7,2,3,5,2022-04-10,DEN
Austin Rivers,7,3,7,1,4,1,2022-04-10,DEN
JaMychal Green,11,5,7,0,1,3,2022-04-10,DEN
Facundo Campazzo,3,1,4,1,3,4,2022-04-10,DEN
Bones Hyland,17,6,15,2,9,6,2022-04-10,DEN
Bryn Forbes,24,6,14,5,11,1,2022-04-10,DEN
Vlatko Cancar,2,1,2,0,0,4,2022-04-10,DEN
Davon Reed,14,6,10,2,3,4,2022-04-10,DEN
Zeke Nnaji,5,1,9,0,4,2,2022-04-10,DEN
Markus Howard,25,8,17,2,8,1,2022-04-10,DEN
Draymond Green,7,2,2,1,1,6,2022-04-10,GSW
Kevon Looney,4,2,3,0,0,3,2022-04-10,GSW
Jordan Poole,22,7,16,4,9,5,2022-04-10,GSW
Quinndary Weatherspoon,0,0,0,0,0,1,2022-04-10,GSW
Moses Moody,5,2,3,1,1,2,2022-04-10,GSW
Nemanja Bjelica,4,2,3,0,1,7,2022-04-10,GSW
Klay Thompson,41,16,29,7,14,2,2022-04-10,GSW
Gary Payton II,8,4,4,0,0,0,2022-04-10,GSW
Juan Toscano-Anderson,8,3,4,2,2,4,2022-04-10,GSW
Jonathan Kuminga,18,7,10,3,4,2,2022-04-10,GSW
Damion Lee,11,4,7,1,1,1,2022-04-10,GSW
Jae'Sean Tate,5,2,4,1,1,2,2022-04-10,HOU
Usman Garuba,0,0,2,0,2,1,2022-04-10,HOU
Josh Christopher,6,2,6,0,3,3,2022-04-10,HOU
Alperen Sengun,9,4,12,1,6,8,2022-04-10,HOU
David Nwaba,2,1,2,0,1,1,2022-04-10,HOU
Kenyon Martin Jr.,11,4,6,2,4,0,2022-04-10,HOU
Jalen Green,41,14,26,4,11,3,2022-04-10,HOU
Garrison Mathews,14,4,7,3,6,0,2022-04-10,HOU
Kevin Porter Jr.,26,10,24,6,12,6,2022-04-10,HOU
Amir Coffey,35,13,22,7,10,5,2022-04-10,LAC
Isaiah Hartenstein,12,4,7,1,2,6,2022-04-10,LAC
Rodney Hood,5,1,1,1,1,2,2022-04-10,LAC
Terance Mann,10,4,7,1,2,3,2022-04-10,LAC
Luke Kennard,20,7,17,4,10,4,2022-04-10,LAC
Ivica Zubac,12,6,10,0,0,2,2022-04-10,LAC
Robert Covington,9,3,7,3,5,0,2022-04-10,LAC
Xavier Moon,17,8,11,1,3,7,2022-04-10,LAC
Brandon Boston Jr.,18,8,15,0,2,5,2022-04-10,LAC
Mac McClung,6,2,5,1,3,1,2022-04-10,LAL
Austin Reaves,31,7,17,3,5,10,2022-04-10,LAL
Mason Jones,9,1,3,0,1,3,2022-04-10,LAL
D.J. Augustin,2,0,4,0,4,2,2022-04-10,LAL
Wayne Ellington,18,6,10,4,8,0,2022-04-10,LAL
Malik Monk,41,14,25,7,14,1,2022-04-10,LAL
Talen Horton-Tucker,10,3,8,0,3,3,2022-04-10,LAL
Stanley Johnson,15,5,9,1,4,3,2022-04-10,LAL
Wenyen Gabriel,14,6,13,0,1,3,2022-04-10,LAL
Javonte Smart,20,8,14,4,8,1,2022-04-10,MIA
Haywood Highsmith,16,7,17,2,8,2,2022-04-10,MIA
Gabe Vincent,6,2,4,2,3,2,2022-04-10,MIA
Mychal Mulder,11,3,9,3,7,2,2022-04-10,MIA
Udonis Haslem,2,1,5,0,1,1,2022-04-10,MIA
Omer Yurtseven,7,3,14,0,3,1,2022-04-10,MIA
Duncan Robinson,9,3,9,3,9,4,2022-04-10,MIA
Victor Oladipo,40,13,22,5,11,7,2022-04-10,MIA
Sandro Mamukelashvili,28,10,18,2,5,4,2022-04-10,MIL
Rayjon Tucker,15,5,7,3,3,4,2022-04-10,MIL
Jordan Nwora,24,7,23,3,8,4,2022-04-10,MIL
Jrue Holiday,0,0,0,0,0,0,2022-04-10,MIL
Jevon Carter,3,1,11,1,5,5,2022-04-10,MIL
Thanasis Antetokounmpo,27,9,14,1,3,2,2022-04-10,MIL
Lindell Wigginton,18,7,15,2,6,8,2022-04-10,MIL
Nathan Knight,17,7,12,1,3,3,2022-04-10,MIN
Leandro Bolmaro,11,4,9,1,1,4,2022-04-10,MIN
