,Name,PTS,FGM,FGA,PM3,PA3,AST,Team,Division,Conference,eFG,PM2
0,Onyeka Okongwu,9,3,6,0,0,1,ATL,southeast,east,50.0,3
1,Kevin Huerter,26,9,12,5,6,2,ATL,southeast,east,95.83333333333333,4
2,Lou Williams,7,3,5,1,1,6,ATL,southeast,east,70.0,2
3,Danilo Gallinari,7,1,5,1,4,2,ATL,southeast,east,30.0,0
4,Bogdan Bogdanovic,18,7,16,4,11,4,ATL,southeast,east,56.25,3
5,De'Andre Hunter,17,7,15,1,3,1,ATL,southeast,east,50.0,6
6,John Collins,6,3,11,0,4,4,ATL,southeast,east,27.272727272727273,3
7,Delon Wright,4,1,7,0,3,7,ATL,southeast,east,14.285714285714286,1
8,Clint Capela,6,3,4,0,0,1,ATL,southeast,east,75.0,3
9,Onyeka Okongwu,16,8,9,0,0,0,ATL,southeast,east,88.88888888888889,8
10,Lou Williams,9,2,5,1,3,4,ATL,southeast,east,50.0,1
11,Danilo Gallinari,4,1,5,1,4,1,ATL,southeast,east,30.0,0
12,Delon Wright,5,2,3,1,1,1,ATL,southeast,east,83.33333333333333,1
13,Bogdan Bogdanovic,10,3,9,2,8,3,ATL,southeast,east,44.44444444444444,1
14,Clint Capela,15,6,8,0,0,3,ATL,southeast,east,75.0,6
15,John Collins,20,10,13,0,1,2,ATL,southeast,east,76.92307692307692,10
16,Kevin Huerter,5,2,5,1,4,3,ATL,southeast,east,50.0,1
17,Trae Young,36,12,22,4,10,12,ATL,southeast,east,63.63636363636363,8
18,De'Andre Hunter,9,3,5,0,0,2,ATL,southeast,east,60.0,3
19,Delon Wright,0,0,2,0,1,2,ATL,southeast,east,0.0,0
20,Kevin Huerter,5,2,5,1,3,3,ATL,southeast,east,50.0,1
21,Onyeka Okongwu,2,1,2,0,0,0,ATL,southeast,east,50.0,1
22,Trae Young,21,8,25,2,9,5,ATL,southeast,east,36.0,6
23,Bogdan Bogdanovic,19,7,14,3,7,3,ATL,southeast,east,60.714285714285715,4
24,Danilo Gallinari,14,5,5,1,1,0,ATL,southeast,east,110.0,4
25,John Collins,21,8,13,0,2,0,ATL,southeast,east,61.53846153846154,8
26,Jalen Johnson,0,0,0,0,0,0,ATL,southeast,east,,0
27,Skylar Mays,0,0,0,0,0,1,ATL,southeast,east,,0
28,Lou Williams,8,3,6,2,3,3,ATL,southeast,east,66.66666666666667,1
29,Gorgui Dieng,0,0,1,0,1,0,ATL,southeast,east,0.0,0
30,Clint Capela,6,3,5,0,0,0,ATL,southeast,east,60.0,3
31,De'Andre Hunter,9,3,10,2,3,2,ATL,southeast,east,40.0,1
32,Timothe Luwawu-Cabarrot,3,1,1,1,1,0,ATL,southeast,east,150.0,0
33,Kevin Knox II,0,0,0,0,0,0,ATL,southeast,east,,0
34,Skylar Mays,1,0,0,0,0,1,ATL,southeast,east,,0
35,Jalen Johnson,3,1,2,1,1,0,ATL,southeast,east,75.0,0
36,John Collins,9,4,8,0,4,0,ATL,southeast,east,50.0,4
37,Lou Williams,15,5,7,3,3,5,ATL,southeast,east,92.85714285714286,2
38,Danilo Gallinari,7,3,9,1,5,0,ATL,southeast,east,38.888888888888886,2
39,Bogdan Bogdanovic,18,6,11,3,8,7,ATL,southeast,east,68.18181818181819,3
40,Delon Wright,6,3,5,0,1,1,ATL,southeast,east,60.0,3
41,Onyeka Okongwu,18,6,9,0,0,2,ATL,southeast,east,66.66666666666667,6
42,Clint Capela,8,4,4,0,0,1,ATL,southeast,east,100.0,4
43,Trae Young,17,7,18,3,8,10,ATL,southeast,east,47.22222222222222,4
44,Gorgui Dieng,2,1,2,0,1,0,ATL,southeast,east,50.0,1
