Name,Player_ID,Team_ID,Game_ID,Matchup,Game_day,Result,MINS,PTS,FGM,FGA,FGP,PM3,PA3,P3P,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Terry Taylor,1630678,1610612754,0022100857,IND vs. MIN,2022-02-13,L,13,10,4,7,57.1,0,1,0.0,2,2,100.0,4,1,5,1,0,0,0,2
Duane Washington Jr.,1630613,1610612754,0022100857,IND vs. MIN,2022-02-13,L,11,2,1,5,20.0,0,2,0.0,0,0,,0,1,1,1,1,2,0,3
Jaden McDaniels,1630183,1610612750,0022100857,MIN @ IND,2022-02-13,W,30,11,4,6,66.7,0,1,0.0,3,3,100.0,0,2,2,0,0,1,1,4
Buddy Hield,1627741,1610612754,0022100857,IND vs. MIN,2022-02-13,L,40,13,6,19,31.6,1,13,7.7,0,0,,2,6,8,1,2,1,1,3
Karl-Anthony Towns,1626157,1610612750,0022100857,MIN @ IND,2022-02-13,W,22,15,5,12,41.7,1,1,100.0,4,4,100.0,5,8,13,3,6,0,0,5
D'Angelo Russell,1626156,1610612750,0022100857,MIN @ IND,2022-02-13,W,35,23,8,14,57.1,3,6,50.0,4,4,100.0,0,2,2,6,1,1,0,3
Tristan Thompson,202684,1610612754,0022100857,IND vs. MIN,2022-02-13,L,15,1,0,3,0.0,0,0,,1,2,50.0,2,1,3,0,0,0,0,1
Chris Duarte,1630537,1610612754,0022100857,IND vs. MIN,2022-02-13,L,4,2,1,2,50.0,0,1,0.0,0,0,,1,0,1,0,2,0,0,0
Jalen Smith,1630188,1610612754,0022100857,IND vs. MIN,2022-02-13,L,23,17,6,10,60.0,1,4,25.0,4,5,80.0,5,7,12,0,0,0,1,4
Tyrese Haliburton,1630169,1610612754,0022100857,IND vs. MIN,2022-02-13,L,41,22,7,14,50.0,6,12,50.0,2,2,100.0,0,5,5,16,3,1,0,2
Anthony Edwards,1630162,1610612750,0022100857,MIN @ IND,2022-02-13,W,39,37,13,25,52.0,7,13,53.8,4,7,57.1,0,5,5,4,3,4,1,1
Naz Reid,1629675,1610612750,0022100857,MIN @ IND,2022-02-13,W,23,13,3,8,37.5,0,0,,7,7,100.0,1,2,3,2,0,0,3,2
Jordan McLaughlin,1629162,1610612750,0022100857,MIN @ IND,2022-02-13,W,17,3,1,3,33.3,1,2,50.0,0,0,,0,0,0,3,0,1,0,1
Oshae Brissett,1629052,1610612754,0022100857,IND vs. MIN,2022-02-13,L,37,22,9,18,50.0,3,6,50.0,1,3,33.3,7,6,13,2,2,0,2,3
Goga Bitadze,1629048,1610612754,0022100857,IND vs. MIN,2022-02-13,L,19,7,3,4,75.0,0,0,,1,2,50.0,1,2,3,3,2,0,2,2
Jarred Vanderbilt,1629020,1610612750,0022100857,MIN @ IND,2022-02-13,W,23,4,2,2,100.0,0,0,,0,0,,2,5,7,1,0,0,1,1
Malik Beasley,1627736,1610612750,0022100857,MIN @ IND,2022-02-13,W,20,10,3,6,50.0,3,5,60.0,1,1,100.0,0,2,2,2,0,0,0,3
Keifer Sykes,1626208,1610612754,0022100857,IND vs. MIN,2022-02-13,L,5,3,1,4,25.0,1,3,33.3,0,0,,0,0,0,0,0,0,0,0
Lance Stephenson,202362,1610612754,0022100857,IND vs. MIN,2022-02-13,L,32,21,7,16,43.8,1,3,33.3,6,6,100.0,0,3,3,4,1,1,0,1
Patrick Beverley,201976,1610612750,0022100857,MIN @ IND,2022-02-13,W,30,13,4,8,50.0,3,6,50.0,2,2,100.0,0,4,4,2,3,1,2,5
Payton Pritchard,1630202,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,11,0,0,3,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,0,1
Onyeka Okongwu,1630168,1610612737,0022100856,ATL @ BOS,2022-02-13,L,17,4,2,4,50.0,0,0,,0,0,,1,4,5,0,3,0,1,2
Grant Williams,1629684,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,27,5,2,5,40.0,1,3,33.3,0,0,,0,4,4,1,0,1,0,3
De'Andre Hunter,1629631,1610612737,0022100856,ATL @ BOS,2022-02-13,L,38,10,4,16,25.0,2,7,28.6,0,0,,3,3,6,3,2,2,0,5
Derrick White,1628401,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,29,14,4,14,28.6,2,10,20.0,4,4,100.0,1,3,4,5,1,2,1,2
Jaylen Brown,1627759,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,38,17,6,16,37.5,2,6,33.3,3,4,75.0,2,7,9,3,4,0,0,1
Bogdan Bogdanovic,203992,1610612737,0022100856,ATL @ BOS,2022-02-13,L,38,26,9,20,45.0,3,10,30.0,5,5,100.0,1,5,6,2,1,1,0,4
Al Horford,201143,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,24,8,3,3,100.0,2,2,100.0,0,0,,0,6,6,0,0,0,1,1
Lou Williams,101150,1610612737,0022100856,ATL @ BOS,2022-02-13,L,15,3,1,5,20.0,1,2,50.0,0,0,,0,2,2,2,1,1,0,0
Danilo Gallinari,201568,1610612737,0022100856,ATL @ BOS,2022-02-13,L,23,5,2,8,25.0,1,3,33.3,0,0,,0,0,0,0,0,0,0,0
Marcus Smart,203935,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,35,13,3,11,27.3,0,5,0.0,7,9,77.8,1,5,6,7,0,1,0,1
Clint Capela,203991,1610612737,0022100856,ATL @ BOS,2022-02-13,L,31,8,3,4,75.0,0,0,,2,2,100.0,2,15,17,0,1,0,1,2
Delon Wright,1626153,1610612737,0022100856,ATL @ BOS,2022-02-13,L,16,2,1,3,33.3,0,1,0.0,0,0,,1,5,6,0,0,0,0,2
Kevin Huerter,1628989,1610612737,0022100856,ATL @ BOS,2022-02-13,L,26,7,3,7,42.9,1,3,33.3,0,0,,0,2,2,1,1,0,1,6
Trae Young,1629027,1610612737,0022100856,ATL @ BOS,2022-02-13,L,37,30,9,26,34.6,4,12,33.3,8,8,100.0,3,1,4,10,4,2,0,1
Jayson Tatum,1628369,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,40,38,13,27,48.1,4,10,40.0,8,9,88.9,2,8,10,3,2,1,2,3
Sharife Cooper,1630536,1610612737,0022100856,ATL @ BOS,2022-02-13,L,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Robert Williams III,1629057,1610612738,0022100856,BOS vs. ATL,2022-02-13,W,36,10,5,6,83.3,0,0,,0,1,0.0,6,8,14,1,5,0,2,3
Russell Westbrook,201566,1610612747,0022100854,LAL @ GSW,2022-02-12,L,35,19,7,13,53.8,1,2,50.0,4,4,100.0,1,6,7,5,1,1,0,4
Anthony Davis,203076,1610612747,0022100854,LAL @ GSW,2022-02-12,L,35,16,5,13,38.5,0,1,0.0,6,10,60.0,2,5,7,4,0,0,3,3
Stanley Johnson,1626169,1610612747,0022100854,LAL @ GSW,2022-02-12,L,16,4,2,4,50.0,0,0,,0,0,,1,0,1,1,0,0,0,2
