,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,LeBron James,CLE,24,14,10,4,41.4,35.3,11.4,22.3,51.0,1.9,5.8,33.3,10.6,14.2,74.9,1.4,7.8,9.1,7.3,2.7,1.6,0.9,2.1,62.0,7,1,8.7
1,2,Kobe Bryant,LAL,30,23,16,7,40.9,30.2,10.5,23.0,45.7,1.6,4.6,34.9,7.6,8.6,88.3,0.8,4.5,5.3,5.5,2.6,1.7,0.9,2.6,50.0,1,0,7.9
2,3,Dwyane Wade,MIA,27,7,3,4,40.7,29.1,9.7,22.1,43.9,2.6,7.1,36.0,7.1,8.3,86.2,0.6,4.4,5.0,5.3,3.6,0.9,1.6,2.9,46.8,0,0,2.6
3,4,Tony Parker,SAS,27,5,1,4,36.3,28.6,11.8,21.6,54.6,0.6,2.8,21.4,4.4,6.2,71.0,0.2,4.0,4.2,6.8,4.2,1.2,0.2,2.6,43.8,1,0,-3.4
4,5,Carmelo Anthony,DEN,25,16,10,6,38.2,27.2,9.1,20.1,45.3,1.5,4.1,36.4,7.4,9.0,82.6,1.6,4.2,5.8,4.1,2.3,1.8,0.6,3.8,45.1,1,0,7.3
5,6,Dirk Nowitzki,DAL,31,10,5,5,39.4,26.8,8.8,17.0,51.8,0.6,2.1,28.6,8.6,9.3,92.5,1.2,8.9,10.1,3.1,2.3,0.9,0.8,2.1,46.4,5,0,2.3
6,7,Brandon Roy,POR,24,6,2,4,39.7,26.7,9.3,20.3,45.9,1.3,2.8,47.1,6.7,7.7,87.0,1.0,3.8,4.8,2.8,2.2,1.3,1.2,2.5,42.1,0,0,-2.8
7,8,Ben Gordon,CHI,26,7,3,4,43.4,24.3,7.4,19.1,38.8,2.4,6.6,37.0,7.0,8.0,87.5,0.4,2.4,2.9,3.0,1.1,0.4,0.1,3.1,32.8,0,0,-2.3
8,9,Andre Iguodala,PHI,25,6,2,4,44.8,21.5,7.3,16.3,44.9,1.8,4.7,39.3,5.0,7.7,65.2,1.0,5.3,6.3,6.7,4.0,1.8,0.0,1.5,40.6,1,0,-5.5
9,10,Andre Miller,PHI,33,6,2,4,43.0,21.2,8.0,16.8,47.5,0.5,1.7,30.0,4.7,5.7,82.4,1.5,4.8,6.3,5.3,3.2,1.2,0.2,2.8,37.6,0,0,-9.5
10,11,Paul Pierce,BOS,31,14,7,7,39.7,21.0,6.8,15.8,43.0,1.4,4.1,33.3,6.1,7.2,84.2,0.3,5.5,5.8,3.1,2.4,1.1,0.4,3.1,34.5,0,0,1.5
11,12,Chauncey Billups,DEN,32,16,10,6,38.7,20.6,5.6,12.3,45.7,2.8,5.9,46.8,6.6,7.3,90.6,0.3,3.5,3.8,6.8,1.9,1.3,0.3,2.4,38.0,2,0,7.8
12,13,Carlos Boozer,UTA,27,5,1,4,37.1,20.6,7.6,14.4,52.8,0.0,0.0,0.0,5.4,7.0,77.1,2.4,10.8,13.2,2.2,3.0,1.6,0.4,3.6,42.7,3,0,-8.0
13,14,Dwight Howard,ORL,23,23,12,11,39.2,20.3,7.0,11.7,60.1,0.0,0.1,0.0,6.3,9.9,63.6,4.3,11.0,15.3,1.9,2.9,0.9,2.6,4.4,49.0,22,0,0.0
14,15,Deron Williams,UTA,25,5,1,4,42.1,20.2,5.8,14.0,41.4,1.8,5.0,36.0,6.8,8.2,82.9,0.8,3.0,3.8,10.8,4.2,1.8,0.4,3.4,43.4,2,0,-7.2
15,16,Tim Duncan,SAS,33,5,1,4,32.7,19.8,8.2,15.4,53.2,0.0,0.0,0.0,3.4,5.6,60.7,2.4,5.6,8.0,3.2,1.4,0.6,1.2,2.2,38.2,2,0,-4.8
16,17,Derrick Rose,CHI,20,7,3,4,44.8,19.7,8.4,17.1,49.2,0.0,0.6,0.0,2.9,3.6,80.0,1.7,4.6,6.3,6.4,5.0,0.6,0.7,3.6,35.8,2,0,-4.4
17,18,LaMarcus Aldridge,POR,23,6,2,4,39.5,19.5,8.5,17.3,49.0,0.2,0.7,25.0,2.3,3.3,70.0,1.5,6.0,7.5,1.3,1.7,0.5,1.7,2.7,35.3,2,0,-3.0
18,19,Rashard Lewis,ORL,29,24,13,11,41.1,19.0,6.5,14.5,44.8,2.2,5.5,39.4,3.8,4.8,78.4,1.2,5.2,6.4,2.9,2.1,1.0,0.5,2.1,33.7,3,0,2.0
19,20,Ray Allen,BOS,33,14,7,7,40.4,18.3,5.9,14.7,40.3,2.5,7.1,35.0,3.9,4.1,94.8,0.9,3.0,3.9,2.6,1.8,1.1,0.4,2.5,29.5,0,0,2.1
20,21,Pau Gasol,LAL,28,23,16,7,40.5,18.3,7.0,12.0,58.0,0.0,0.0,0.0,4.3,6.1,71.4,3.0,7.9,10.8,2.5,1.9,0.8,2.0,3.0,41.5,16,0,6.6
21,22,John Salmons,CHI,29,7,3,4,44.7,18.1,6.1,15.3,40.2,1.7,5.4,31.6,4.1,4.9,85.3,0.9,3.6,4.4,2.3,1.7,1.3,1.0,2.9,32.0,0,0,-7.7
22,23,David West,NOH,28,5,1,4,35.7,18.0,6.4,16.0,40.0,0.0,0.0,0.0,5.2,5.8,89.7,1.0,6.4,7.4,1.2,2.8,1.0,0.4,3.8,30.1,1,0,-17.0
23,24,Yao Ming,HOU,28,9,5,4,35.8,17.1,6.0,11.0,54.5,0.0,0.0,0.0,5.1,5.7,90.2,2.1,8.8,10.9,1.0,1.9,0.4,1.2,3.0,34.8,6,0,0.1
24,25,Josh Smith,ATL,23,11,4,7,37.3,17.1,6.1,14.5,42.1,0.2,1.4,13.3,4.7,6.5,73.2,2.2,5.3,7.5,2.2,1.9,1.1,1.5,3.3,35.3,2,0,-4.7
25,26,Rajon Rondo,BOS,23,14,7,7,41.2,16.9,6.6,15.9,41.7,0.4,1.7,25.0,3.1,4.8,65.7,2.3,7.4,9.7,9.8,2.7,2.5,0.2,3.4,48.6,9,3,3.1
26,27,Aaron Brooks,HOU,24,13,7,6,34.1,16.8,5.9,13.1,45.3,2.1,4.9,42.2,2.8,3.5,80.4,0.3,2.3,2.6,3.4,2.2,0.4,0.2,2.2,24.6,0,0,-2.1
27,28,Chris Paul,NOH,24,5,1,4,40.2,16.6,6.0,14.6,41.1,1.0,3.2,31.3,3.6,4.2,85.7,0.8,3.6,4.4,10.4,4.8,1.6,0.0,1.6,37.5,4,0,-19.0
