,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Dwyane Wade,MIA,27,79,42,37,38.6,30.2,10.8,22.0,49.1,1.1,3.5,31.7,7.5,9.8,76.5,1.1,3.9,5.0,7.5,3.4,2.2,1.3,2.3,54.6,20,0,2.7
1,2,LeBron James,CLE,24,81,66,15,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78.0,1.3,6.3,7.6,7.2,3.0,1.7,1.1,1.7,53.9,29,7,10.8
2,3,Kobe Bryant,LAL,30,82,65,17,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,1.1,4.1,5.2,4.9,2.6,1.5,0.5,2.3,43.6,8,2,8.0
3,4,Dirk Nowitzki,DAL,31,81,49,32,37.7,25.9,9.6,20.0,47.9,0.8,2.1,35.9,6.0,6.7,89.0,1.1,7.3,8.4,2.4,1.9,0.8,0.8,2.2,42.2,26,0,3.0
4,5,Danny Granger,IND,26,67,27,40,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6.0,6.9,87.8,0.7,4.4,5.1,2.7,2.5,1.0,1.4,3.1,41.0,6,0,1.0
5,6,Kevin Durant,OKC,20,74,18,56,39.0,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,1.0,5.5,6.5,2.8,3.0,1.3,0.7,1.8,40.3,15,0,-6.8
6,7,Kevin Martin,SAC,26,51,12,39,38.2,24.6,6.7,15.9,42.0,2.3,5.4,41.5,9.0,10.3,86.7,0.6,3.0,3.6,2.7,2.9,1.2,0.2,2.3,34.1,1,0,-5.9
7,8,Al Jefferson,MIN,24,50,17,33,36.7,23.1,9.7,19.5,49.7,0.0,0.1,0.0,3.7,5.0,73.8,3.4,7.5,11.0,1.6,1.8,0.8,1.7,2.8,44.1,30,0,-2.1
8,9,Chris Paul,NOH,24,78,47,31,38.5,22.8,8.1,16.1,50.3,0.8,2.3,36.4,5.8,6.7,86.8,0.9,4.7,5.5,11.0,3.0,2.8,0.1,2.7,51.8,50,6,4.5
9,10,Carmelo Anthony,DEN,25,66,45,21,34.5,22.8,8.1,18.3,44.3,1.0,2.6,37.1,5.6,7.1,79.3,1.6,5.2,6.8,3.4,3.0,1.1,0.4,3.0,37.5,12,0,4.6
10,11,Chris Bosh,TOR,25,77,31,46,38.0,22.7,8.0,16.4,48.7,0.2,0.6,24.5,6.5,8.0,81.7,2.8,7.2,10.0,2.5,2.3,0.9,1.0,2.5,41.8,43,0,-1.1
