,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
0,1,Dwyane Wade,MIA,28,5,1,4,42.0,33.2,12.4,22.0,56.4,3.0,7.4,40.5,5.4,8.0,67.5,1.2,4.4,5.6,6.8,5.2,1.6,1.6,3.2,54.5,1,0,-7.2,2548,1610612748
1,2,Carmelo Anthony,DEN,26,6,2,4,42.3,30.7,10.7,23.0,46.4,1.0,3.2,31.6,8.3,9.5,87.7,2.3,6.2,8.5,3.3,3.5,2.0,0.5,4.3,49.9,3,0,2.2,2546,1610612743
2,3,Kobe Bryant,LAL,31,23,16,7,40.1,29.2,10.2,22.2,45.8,2.1,5.7,37.4,6.7,8.0,84.2,1.1,4.9,6.0,5.5,3.4,1.3,0.7,3.3,47.3,6,0,4.2,977,1610612747
3,4,LeBron James,CLE,25,11,6,5,41.8,29.1,9.6,19.2,50.2,1.8,4.5,40.0,8.0,10.9,73.3,1.4,7.9,9.3,7.6,3.8,1.7,1.8,2.1,58.5,4,2,4.0,2544,1610612739
4,5,Derrick Rose,CHI,21,5,1,4,42.5,26.8,11.4,25.0,45.6,0.4,1.2,33.3,3.6,4.4,81.8,0.8,2.6,3.4,7.2,2.6,0.8,0.0,1.6,41.5,1,0,-10.8,201565,1610612741
5,6,Dirk Nowitzki,DAL,32,6,2,4,38.8,26.7,9.7,17.7,54.7,0.7,1.2,57.1,6.7,7.0,95.2,1.2,7.0,8.2,3.0,1.7,0.8,0.7,2.5,43.8,2,0,-2.3,1717,1610612742
6,7,Kevin Durant,OKC,21,6,2,4,38.5,25.0,7.2,20.5,35.0,1.7,5.8,28.6,9.0,10.3,87.1,1.3,6.3,7.7,2.3,3.7,0.5,1.3,2.8,39.5,1,0,0.0,201142,1610612760
7,8,Deron Williams,UTA,26,10,4,6,39.8,24.3,6.7,14.9,45.0,2.0,5.1,39.2,8.9,11.1,80.2,0.4,2.3,2.7,10.2,3.0,1.0,0.4,3.7,44.0,5,0,-3.2,101114,1610612762
8,9,Amar'e Stoudemire,PHX,27,16,10,6,36.5,22.2,7.8,14.9,51.9,0.0,0.3,0.0,6.7,8.9,75.4,2.9,3.8,6.6,1.1,2.5,0.7,1.5,3.4,35.9,3,0,2.8,2405,1610612756
9,10,Russell Westbrook,OKC,21,6,2,4,35.4,20.5,7.2,15.2,47.3,0.8,2.0,41.7,5.3,6.3,84.2,1.7,4.3,6.0,6.0,2.3,1.7,0.2,2.2,39.9,0,0,-2.0,201566,1610612760
10,11,Chauncey Billups,DEN,33,6,2,4,34.5,20.3,6.2,13.8,44.6,1.8,5.2,35.5,6.2,7.0,88.1,0.2,2.2,2.3,6.3,3.0,1.0,0.5,4.0,34.1,1,0,-4.5,1497,1610612743
11,12,Jason Richardson,PHX,29,16,10,6,33.3,19.8,7.0,13.9,50.2,3.0,6.3,47.5,2.8,3.6,75.9,1.1,4.3,5.4,1.1,0.6,1.1,0.3,2.2,31.2,1,0,1.8,2202,1610612756
12,13,Carlos Boozer,UTA,28,10,4,6,40.2,19.7,8.9,16.8,53.0,0.0,0.0,0.0,1.9,3.5,54.3,3.3,9.9,13.2,3.0,2.4,0.4,0.7,3.8,40.9,8,0,-3.3,2430,1610612762
13,14,Caron Butler,DAL,30,6,2,4,33.7,19.7,7.2,16.5,43.4,1.2,3.8,30.4,4.2,4.5,92.6,0.5,5.3,5.8,1.3,2.5,1.5,0.8,2.7,33.2,1,0,-3.3,2406,1610612742
14,15,Pau Gasol,LAL,29,23,16,7,39.7,19.6,7.2,13.3,53.9,0.0,0.1,0.0,5.2,6.9,75.9,4.0,7.1,11.1,3.5,1.9,0.4,2.1,2.7,43.7,13,0,4.2,2200,1610612747
15,16,Manu Ginobili,SAS,32,10,4,6,35.2,19.4,5.8,14.0,41.4,2.0,6.0,33.3,5.8,6.7,86.6,0.4,3.3,3.7,6.0,3.0,2.6,0.2,3.0,38.2,1,0,-2.1,1938,1610612759
16,17,Jameer Nelson,ORL,28,14,10,4,34.2,19.0,6.5,13.6,47.9,2.4,6.0,39.3,3.6,4.4,82.3,0.6,2.9,3.6,4.8,2.5,1.0,0.0,2.7,31.0,0,0,7.0,2749,1610612753
17,17,LaMarcus Aldridge,POR,24,6,2,4,38.2,19.0,6.7,15.5,43.0,0.2,0.3,50.0,5.5,7.3,75.0,1.7,4.3,6.0,2.2,1.8,1.2,1.8,2.7,36.6,1,0,-6.5,200746,1610612757
18,17,Tim Duncan,SAS,34,10,4,6,37.3,19.0,7.8,15.0,52.0,0.1,0.2,50.0,3.3,6.9,47.8,3.0,6.9,9.9,2.6,2.4,0.8,1.7,2.7,39.9,5,0,0.2,1495,1610612759
19,20,Luol Deng,CHI,25,5,1,4,40.5,18.8,7.4,16.0,46.3,0.2,2.4,8.3,3.8,5.2,73.1,1.6,3.4,5.0,1.4,0.6,1.2,0.8,3.0,32.3,0,0,-6.2,2736,1610612741
20,21,Paul Pierce,BOS,32,24,15,9,38.7,18.8,6.1,14.0,43.8,1.7,4.3,39.2,4.9,5.9,82.4,0.8,5.1,6.0,3.4,2.7,1.0,0.6,3.3,33.2,4,0,2.3,1718,1610612738
21,22,Brandon Jennings,MIL,20,7,3,4,35.6,18.7,7.0,17.1,40.8,1.7,5.9,29.3,3.0,3.7,80.8,0.7,2.3,3.0,3.6,1.1,1.1,0.6,2.7,31.7,0,0,-2.0,201943,1610612749
22,23,Dwight Howard,ORL,24,14,10,4,35.5,18.1,6.1,10.0,61.4,0.0,0.0,0.0,5.9,11.3,51.9,2.7,8.4,11.1,1.4,3.6,0.8,3.5,4.2,42.7,7,0,5.8,2730,1610612753
23,24,Paul Millsap,UTA,25,10,4,6,32.3,18.0,7.0,12.2,57.4,0.0,0.2,0.0,4.0,5.8,69.0,3.4,5.4,8.8,2.2,1.3,1.1,1.4,3.6,38.1,4,0,-2.7,200794,1610612762
24,24,Stephen Jackson,CHA,32,4,0,4,39.0,18.0,6.0,16.8,35.8,0.8,4.5,16.7,5.3,6.5,80.8,1.5,3.5,5.0,3.8,4.3,1.3,0.3,3.3,29.9,0,0,-10.5,1536,1610612766
25,26,Joe Johnson,ATL,29,11,4,7,40.0,17.9,7.0,18.1,38.7,0.8,3.7,22.0,3.1,3.8,81.0,1.8,3.3,5.1,5.0,2.3,0.9,0.3,2.0,32.8,0,0,-2.0,2207,1610612737
26,27,Steve Nash,PHX,36,16,10,6,33.7,17.8,6.2,11.9,51.8,1.2,3.1,38.0,4.2,4.7,89.3,0.4,2.9,3.3,10.1,3.8,0.3,0.1,1.3,33.9,8,0,4.2,959,1610612756
