,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
0,1,Kevin Durant,OKC,22,17,9,8,42.5,28.6,9.1,20.3,44.9,2.2,6.4,33.9,8.2,9.8,83.8,1.1,7.1,8.2,2.8,2.5,0.9,1.1,3.1,46.4,5,0,3.0,201142,1610612760
1,2,Dirk Nowitzki,DAL,33,21,16,5,39.3,27.7,9.1,18.9,48.5,1.1,2.4,46.0,8.3,8.9,94.1,0.6,7.6,8.1,2.5,3.1,0.6,0.6,2.2,41.7,7,0,8.1,1717,1610612742
2,3,Derrick Rose,CHI,22,16,9,7,40.6,27.1,9.3,23.5,39.6,1.6,6.3,24.8,6.9,8.4,82.8,1.3,3.1,4.3,7.7,3.7,1.4,0.7,2.1,46.3,6,0,5.1,201565,1610612741
3,4,Dwight Howard,ORL,25,6,2,4,42.9,27.0,8.5,13.5,63.0,0.0,0.2,0.0,10.0,14.7,68.2,4.5,11.0,15.5,0.5,5.5,0.7,1.8,4.2,48.4,5,0,2.5,2730,1610612753
4,5,Carmelo Anthony,NYK,27,4,0,4,38.9,26.0,8.3,22.0,37.5,2.3,6.5,34.6,7.3,8.5,85.3,3.3,7.0,10.3,4.8,3.3,1.3,0.8,4.0,48.2,2,0,-10.0,2546,1610612752
5,6,Dwyane Wade,MIA,29,21,14,7,39.4,24.5,8.6,17.8,48.5,0.7,2.5,26.9,6.6,8.5,77.7,2.0,5.1,7.1,4.4,3.0,1.6,1.3,2.5,45.5,5,0,2.2,2548,1610612748
6,7,Russell Westbrook,OKC,22,17,9,8,37.5,23.8,7.9,20.2,39.4,0.8,2.8,29.2,7.1,8.4,85.2,2.1,3.2,5.4,6.4,4.6,1.4,0.4,3.3,40.5,2,1,1.6,201566,1610612760
7,8,LeBron James,MIA,26,21,14,7,43.9,23.7,8.3,17.8,46.6,1.4,4.0,35.3,5.7,7.4,76.3,1.6,6.8,8.4,5.9,3.1,1.7,1.2,2.7,47.9,8,1,1.4,2544,1610612748
8,9,Kobe Bryant,LAL,32,10,4,6,35.4,22.8,8.3,18.6,44.6,1.2,4.1,29.3,5.0,6.1,82.0,0.8,2.6,3.4,3.3,3.1,1.6,0.3,2.3,34.4,0,0,0.4,977,1610612747
9,10,Zach Randolph,MEM,29,13,7,6,39.6,22.2,7.7,17.2,44.6,0.2,0.6,25.0,6.7,8.2,82.1,3.3,7.5,10.8,2.4,2.1,1.1,0.8,3.5,42.3,8,0,0.6,2216,1610612763
10,11,Chris Paul,NOH,26,6,2,4,41.7,22.0,7.0,12.8,54.5,1.5,3.2,47.4,6.5,8.2,79.6,0.5,6.2,6.7,11.5,3.7,1.8,0.0,1.8,49.1,4,1,-4.5,101108,1610612740
11,12,Danny Granger,IND,28,5,1,4,36.7,21.6,8.6,18.0,47.8,1.6,4.6,34.8,2.8,3.2,87.5,1.2,4.4,5.6,3.2,1.4,1.2,0.2,2.4,35.9,1,0,-11.6,101122,1610612754
