,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
0,1,Russell Westbrook,OKC,28,81,46,35,34.6,31.6,10.2,24.0,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9.0,10.7,10.4,5.4,1.6,0.4,2.3,60.6,62,42,3.1,201566,1610612760
1,2,James Harden,HOU,27,81,54,27,36.4,29.1,8.3,18.9,44.0,3.2,9.3,34.7,9.2,10.9,84.7,1.2,7.0,8.1,11.2,5.7,1.5,0.5,2.7,55.8,64,22,5.2,201935,1610612745
2,3,Isaiah Thomas,BOS,28,76,51,25,33.8,28.9,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,41.5,5,0,3.6,202738,1610612738
3,4,Anthony Davis,NOP,24,75,31,44,36.1,28.0,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,53.3,49,0,0.7,203076,1610612740
4,5,DeMar DeRozan,TOR,27,74,47,27,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,40.7,5,0,2.0,201942,1610612761
5,6,Damian Lillard,POR,26,75,38,37,35.9,27.0,8.8,19.8,44.4,2.9,7.7,37.0,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2.0,42.6,11,0,1.1,203081,1610612757
6,7,DeMarcus Cousins,NOP,26,72,30,42,34.2,27.0,9.0,19.9,45.2,1.8,5.0,36.1,7.2,9.3,77.2,2.1,8.9,11.0,4.6,3.7,1.4,1.3,3.9,51.4,46,2,-0.3,202326,1610612740
7,8,LeBron James,CLE,32,74,51,23,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42,13,6.5,2544,1610612739
8,9,Kawhi Leonard,SAS,26,74,54,20,33.4,25.5,8.6,17.7,48.5,2.0,5.2,38.0,6.3,7.2,88.0,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6,43.3,9,0,5.9,202695,1610612759
9,10,Stephen Curry,GSW,29,79,65,14,33.4,25.3,8.5,18.3,46.8,4.1,10.0,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,3.0,1.8,0.2,2.3,43.6,9,0,12.8,201939,1610612744
10,11,Kyrie Irving,CLE,25,72,47,25,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,2.5,1.2,0.3,2.2,39.7,8,0,4.6,202681,1610612739
11,12,Karl-Anthony Towns,MIN,21,82,31,51,37.0,25.1,9.8,18.0,54.2,1.2,3.4,36.7,4.3,5.2,83.2,3.6,8.7,12.3,2.7,2.6,0.7,1.3,2.9,47.1,62,1,-0.3,1626157,1610612750
12,13,Kevin Durant,GSW,28,62,51,11,33.4,25.1,8.9,16.5,53.7,1.9,5.0,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,2.2,1.1,1.6,1.9,48.0,23,1,11.5,201142,1610612744
13,14,Jimmy Butler,CHI,27,76,40,36,37.0,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7,202710,1610612741
14,15,Paul George,IND,27,75,39,36,35.9,23.7,8.3,18.0,46.1,2.6,6.6,39.3,4.5,5.0,89.8,0.8,5.8,6.6,3.3,2.9,1.6,0.4,2.7,39.5,11,0,2.2,202331,1610612754
15,16,Andrew Wiggins,MIN,22,82,31,51,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5.0,6.6,76.0,1.2,2.8,4.0,2.3,2.3,1.0,0.4,2.2,33.6,1,0,-0.2,203952,1610612750
16,17,Kemba Walker,CHA,27,79,36,43,34.7,23.2,8.1,18.3,44.4,3.0,7.6,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,2.1,1.1,0.3,1.5,38.0,8,0,2.4,202689,1610612766
17,18,John Wall,WAS,26,78,48,30,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,4.1,2.0,0.6,1.9,47.9,50,0,3.2,202322,1610612764
18,19,Bradley Beal,WAS,24,77,48,29,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,0.7,2.4,3.1,3.5,2.0,1.1,0.3,2.2,34.1,1,0,4.3,203078,1610612764
19,20,CJ McCollum,POR,25,80,40,40,34.9,23.0,8.7,18.0,48.0,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,34.8,1,0,0.8,203468,1610612757
20,21,Giannis Antetokounmpo,MIL,22,80,42,38,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77.0,1.8,7.0,8.8,5.4,2.9,1.6,1.9,3.1,49.2,32,3,0.6,203507,1610612749
21,22,Carmelo Anthony,NYK,33,74,29,45,34.3,22.4,8.1,18.8,43.3,2.0,5.7,35.9,4.1,4.9,83.3,0.8,5.1,5.9,2.9,2.1,0.8,0.5,2.7,35.6,7,0,-3.1,2546,1610612752
22,23,Kyle Lowry,TOR,31,60,36,24,37.4,22.4,7.1,15.3,46.4,3.2,7.8,41.2,5.0,6.1,81.9,0.8,4.0,4.8,7.0,2.9,1.5,0.3,2.8,41.0,11,1,5.9,200768,1610612761
23,24,Klay Thompson,GSW,27,78,66,12,34.0,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3.0,3.7,2.1,1.6,0.8,0.5,1.8,32.2,0,0,10.3,202691,1610612744
24,25,Devin Booker,PHX,20,78,24,54,35.0,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1,31.6,0,0,-2.9,1626164,1610612756
25,26,Gordon Hayward,UTA,27,73,46,27,34.5,21.9,7.5,15.8,47.1,2.0,5.1,39.8,5.0,5.9,84.4,0.7,4.7,5.4,3.5,1.9,1.0,0.3,1.6,35.5,2,0,4.8,202330,1610612762
26,27,Blake Griffin,LAC,28,61,40,21,34.0,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76.0,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6,40.3,19,1,7.2,201933,1610612746
27,28,Eric Bledsoe,PHX,27,66,22,44,33.0,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,38.5,7,1,-2.8,202339,1610612756
28,29,Brook Lopez,BKN,29,75,20,55,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81.0,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,34.5,2,0,-2.1,201572,1610612751
29,30,Mike Conley,MEM,29,69,35,34,33.2,20.5,6.7,14.6,46.0,2.5,6.1,40.8,4.6,5.3,85.9,0.4,3.0,3.5,6.3,2.3,1.3,0.3,1.8,36.7,8,0,2.7,201144,1610612763
30,31,Goran Dragic,MIA,31,73,40,33,33.7,20.3,7.3,15.4,47.5,1.6,4.0,40.5,4.1,5.2,79.0,0.8,3.0,3.8,5.8,2.9,1.2,0.2,2.7,34.9,6,0,0.9,201609,1610612748
31,32,Joel Embiid,PHI,23,31,13,18,25.4,20.2,6.5,13.8,46.6,1.2,3.2,36.7,6.2,7.9,78.3,2.0,5.9,7.8,2.1,3.8,0.9,2.5,3.6,39.0,9,0,2.2,203954,1610612755
32,33,Jabari Parker,MIL,22,51,22,29,33.9,20.1,7.8,16.0,49.0,1.3,3.5,36.5,3.2,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1.0,0.4,2.2,34.1,2,0,-1.7,203953,1610612749
33,34,Marc Gasol,MEM,32,74,40,34,34.2,19.5,7.2,15.7,45.9,1.4,3.6,38.8,3.8,4.5,83.7,0.8,5.5,6.3,4.6,2.2,0.9,1.3,2.3,38.4,11,2,0.9,201188,1610612763
34,35,Harrison Barnes,DAL,25,79,32,47,35.5,19.2,7.6,16.2,46.8,1.0,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5.0,1.5,1.3,0.8,0.2,1.6,29.1,1,0,-1.7,203084,1610612742
35,36,Kevin Love,CLE,28,60,40,20,31.4,19.0,6.2,14.5,42.7,2.4,6.5,37.3,4.3,4.9,87.1,2.5,8.6,11.1,1.9,2.0,0.9,0.4,2.1,36.9,41,0,5.6,201567,1610612739
36,37,Zach LaVine,MIN,22,47,16,31,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,28.9,0,0,-2.5,203897,1610612750
37,38,Rudy Gay,SAC,30,30,11,19,33.8,18.7,6.7,14.7,45.5,1.4,3.8,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,35.0,4,0,2.2,200752,1610612758
38,39,Dwyane Wade,CHI,35,60,29,31,29.9,18.3,6.9,15.9,43.4,0.8,2.4,31.0,3.7,4.7,79.4,1.1,3.5,4.5,3.8,2.3,1.4,0.7,1.9,33.4,2,0,-1.2,2548,1610612741
39,40,Danilo Gallinari,DEN,28,63,31,32,33.9,18.2,5.3,11.9,44.7,2.0,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,28.9,4,0,2.5,201568,1610612743
40,41,Kristaps Porzingis,NYK,21,66,26,40,32.8,18.1,6.7,14.9,45.0,1.7,4.8,35.7,3.0,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2.0,3.7,35.2,12,0,-1.5,204001,1610612752
41,42,Chris Paul,LAC,32,61,43,18,31.5,18.1,6.1,12.9,47.6,2.0,5.0,41.1,3.8,4.3,89.2,0.7,4.3,5.0,9.2,2.4,2.0,0.1,2.4,41.8,24,1,9.5,101108,1610612746
42,43,Paul Millsap,ATL,32,69,40,29,34.0,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,37.1,19,0,2.0,200794,1610612737
43,44,Derrick Rose,NYK,28,64,26,38,32.5,18.0,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4.0,87.4,1.0,2.8,3.8,4.4,2.3,0.7,0.3,1.3,29.8,2,0,-2.6,201565,1610612752
44,45,Dennis Schroder,ATL,23,79,42,37,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34.0,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,31.3,10,0,-1.0,203471,1610612737
45,46,Lou Williams,HOU,30,81,34,47,24.6,17.5,5.3,12.3,42.9,2.0,5.5,36.5,5.0,5.6,88.0,0.3,2.2,2.5,3.0,2.0,1.0,0.2,1.1,26.7,0,0,0.6,101150,1610612745
46,47,LaMarcus Aldridge,SAS,31,72,52,20,32.4,17.3,6.9,14.6,47.7,0.3,0.8,41.1,3.1,3.8,81.2,2.4,4.9,7.3,1.9,1.4,0.6,1.2,2.2,33.1,18,0,3.8,200746,1610612759
47,48,Evan Fournier,ORL,24,68,23,45,32.8,17.2,6.0,13.7,43.9,1.9,5.3,35.6,3.3,4.1,80.5,0.6,2.4,3.1,3.0,2.1,1.0,0.1,2.6,26.3,1,0,-2.9,203095,1610612753
48,49,Hassan Whiteside,MIA,28,77,39,38,32.6,17.0,7.0,12.6,55.7,0.0,0.0,0.0,2.9,4.6,62.8,3.8,10.3,14.1,0.7,2.0,0.7,2.1,2.9,41.6,58,0,1.3,202355,1610612748
49,50,George Hill,UTA,31,49,33,16,31.5,16.9,5.9,12.4,47.7,1.9,4.8,40.3,3.2,4.0,80.1,0.5,2.9,3.4,4.2,1.7,1.0,0.2,2.3,29.3,0,0,5.3,201588,1610612762
50,51,Nikola Jokic,DEN,22,73,37,36,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,38.3,39,6,4.1,203999,1610612743
51,52,Avery Bradley,BOS,26,55,34,21,33.4,16.3,6.5,14.1,46.3,2.0,5.0,39.0,1.2,1.7,73.1,1.2,4.9,6.1,2.2,1.6,1.2,0.2,2.6,29.6,10,0,1.3,202340,1610612738
52,53,Eric Gordon,HOU,28,75,50,25,31.0,16.2,5.5,13.5,40.6,3.3,8.8,37.2,2.0,2.3,84.0,0.4,2.3,2.7,2.5,1.6,0.6,0.5,2.0,25.1,0,0,3.9,201569,1610612745
53,54,Tobias Harris,DET,24,82,37,45,31.3,16.1,6.2,13.0,48.1,1.3,3.8,34.7,2.3,2.8,84.1,0.8,4.3,5.1,1.7,1.2,0.7,0.5,1.6,27.2,3,0,0.0,202699,1610612765
54,55,Victor Oladipo,OKC,25,67,39,28,33.2,15.9,6.1,13.9,44.2,1.9,5.3,36.1,1.7,2.3,75.3,0.6,3.8,4.3,2.6,1.8,1.2,0.3,2.3,27.7,3,0,2.6,203506,1610612760
55,56,Dion Waiters,MIA,25,46,27,19,30.1,15.8,6.1,14.4,42.4,1.8,4.7,39.5,1.8,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,28.2,2,0,1.8,203079,1610612748
56,57,Wilson Chandler,DEN,30,71,35,36,30.9,15.7,6.1,13.2,46.1,1.5,4.6,33.7,2.0,2.7,72.7,1.5,5.0,6.5,2.0,1.6,0.7,0.4,2.4,28.3,9,0,-0.5,201163,1610612743
57,58,D'Angelo Russell,LAL,21,63,21,42,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3.0,78.2,0.5,3.0,3.5,4.8,2.8,1.4,0.3,2.1,29.2,2,0,-5.7,1626156,1610612747
58,59,Jrue Holiday,NOP,27,67,32,35,32.7,15.4,6.0,13.3,45.4,1.5,4.2,35.6,1.8,2.5,70.8,0.7,3.3,3.9,7.3,2.9,1.5,0.7,2.0,34.6,16,0,0.6,201950,1610612740
59,60,Jeff Teague,IND,29,82,42,40,32.4,15.3,4.9,11.1,44.2,1.1,3.1,35.7,4.4,5.1,86.7,0.4,3.6,4.0,7.8,2.6,1.2,0.4,2.0,34.0,16,0,0.6,201952,1610612754
60,61,Nicolas Batum,CHA,28,77,35,42,34.0,15.1,5.1,12.7,40.3,1.8,5.3,33.3,3.2,3.7,85.6,0.6,5.6,6.2,5.9,2.5,1.1,0.4,1.4,33.5,15,1,0.9,201587,1610612766
61,62,JJ Redick,LAC,33,78,50,28,28.2,15.0,5.1,11.4,44.5,2.6,6.0,42.9,2.3,2.6,89.1,0.1,2.1,2.2,1.4,1.3,0.7,0.2,1.6,21.1,0,0,6.1,200755,1610612746
62,63,Gary Harris,DEN,22,57,29,28,31.3,14.9,5.6,11.2,50.2,1.9,4.5,42.0,1.8,2.4,77.6,0.8,2.3,3.1,2.9,1.3,1.2,0.1,1.6,25.8,0,0,1.4,203914,1610612743
63,64,Serge Ibaka,TOR,27,79,37,42,30.7,14.8,6.0,12.4,48.0,1.6,4.0,39.1,1.4,1.6,85.6,1.6,5.2,6.8,0.9,1.3,0.5,1.6,2.7,29.4,11,0,-1.8,201586,1610612761
64,65,Jordan Clarkson,LAL,25,82,26,56,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2.0,79.8,0.6,2.4,3.0,2.6,2.0,1.1,0.1,1.8,23.7,0,0,-5.1,203903,1610612747
65,66,Khris Middleton,MIL,25,29,19,10,30.7,14.7,5.2,11.5,45.0,1.6,3.6,43.3,2.8,3.2,88.0,0.4,3.9,4.2,3.4,2.2,1.4,0.2,2.7,27.6,0,0,3.1,203114,1610612749
66,67,Nikola Vucevic,ORL,26,75,27,48,28.8,14.6,6.4,13.7,46.8,0.3,1.0,30.7,1.4,2.1,66.9,2.3,8.0,10.4,2.8,1.6,1.0,1.0,2.4,35.7,38,0,-1.9,202696,1610612753
67,68,Jeremy Lin,BKN,28,36,13,23,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,29.0,3,0,-2.3,202391,1610612751
68,69,Myles Turner,IND,21,81,42,39,31.4,14.5,5.5,10.7,51.1,0.5,1.4,34.8,3.0,3.7,80.9,1.7,5.6,7.3,1.3,1.3,0.9,2.1,3.2,33.0,15,0,1.8,1626167,1610612754
69,70,Tim Hardaway Jr.,ATL,25,79,42,37,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,22.6,0,0,2.0,203501,1610612737
70,71,Reggie Jackson,DET,27,52,23,29,27.4,14.5,5.5,13.0,41.9,1.3,3.5,35.9,2.3,2.6,86.8,0.4,1.8,2.2,5.2,2.2,0.7,0.1,2.5,25.0,4,0,-4.3,202704,1610612765
71,72,T.J. Warren,PHX,23,66,20,46,31.0,14.4,6.1,12.3,49.5,0.4,1.5,26.5,1.8,2.3,77.3,1.9,3.2,5.1,1.1,0.9,1.2,0.6,2.7,26.6,5,0,-4.3,203933,1610612756
72,73,Enes Freedom,OKC,25,72,43,29,21.3,14.3,5.6,10.2,54.5,0.1,0.5,13.2,3.1,4.0,78.6,2.7,4.0,6.7,0.9,1.7,0.4,0.5,2.1,25.0,18,0,0.8,202683,1610612760
73,74,Dirk Nowitzki,DAL,39,54,23,31,26.4,14.2,5.5,12.6,43.7,1.5,3.9,37.8,1.8,2.1,87.5,0.4,6.1,6.5,1.5,0.9,0.6,0.7,2.1,27.2,8,0,-0.2,1717,1610612742
74,75,Zach Randolph,MEM,35,73,38,35,24.5,14.1,5.9,13.2,44.9,0.3,1.3,22.3,1.9,2.6,73.1,2.5,5.7,8.2,1.7,1.4,0.5,0.1,1.9,27.0,20,0,1.0,2216,1610612763
75,76,Jordan Crawford,NOP,28,19,9,10,23.3,14.1,5.5,11.5,48.2,1.9,5.0,38.9,1.1,1.4,76.9,0.2,1.6,1.8,3.0,1.3,0.6,0.1,1.6,21.4,0,0,0.8,202348,1610612740
76,77,Rudy Gobert,UTA,25,81,51,30,33.9,14.0,5.1,7.7,66.1,0.0,0.0,0.0,3.8,5.9,65.3,3.9,8.9,12.8,1.2,1.8,0.6,2.6,3.0,39.1,58,0,5.4,203497,1610612762
77,78,Al Horford,BOS,31,68,46,22,32.3,14.0,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2.0,80.0,1.4,5.4,6.8,5.0,1.7,0.8,1.3,2.0,34.0,8,0,3.2,201143,1610612738
78,79,Marcus Morris Sr.,DET,27,79,36,43,32.5,14.0,5.3,12.7,41.8,1.5,4.5,33.1,1.8,2.3,78.4,1.0,3.7,4.6,2.0,1.1,0.7,0.3,2.1,24.4,5,0,-1.3,202694,1610612765
79,80,Markieff Morris,WAS,27,76,45,31,31.2,14.0,5.3,11.7,45.7,0.9,2.6,36.2,2.4,2.8,83.7,1.4,5.1,6.5,1.7,1.7,1.1,0.6,3.3,27.5,9,0,2.4,202693,1610612764
80,81,Jae Crowder,BOS,26,72,48,24,32.4,13.9,4.6,10.0,46.3,2.2,5.5,39.8,2.4,3.0,81.1,0.7,5.1,5.8,2.2,1.1,1.0,0.3,2.2,26.9,7,0,4.9,203109,1610612738
81,82,Kentavious Caldwell-Pope,DET,24,76,33,43,33.3,13.8,4.9,12.2,39.9,2.0,5.8,35.0,2.0,2.4,83.2,0.7,2.5,3.3,2.5,1.1,1.2,0.2,1.6,24.4,1,0,-1.9,203484,1610612765
82,83,Bojan Bogdanovic,WAS,28,81,23,58,25.7,13.7,4.6,10.4,44.5,1.8,4.8,36.7,2.7,3.0,89.3,0.5,3.0,3.4,1.4,1.6,0.4,0.1,1.8,19.8,0,0,-3.3,202711,1610612764
83,84,Tyler Johnson,MIA,25,73,35,38,29.8,13.7,4.9,11.3,43.3,1.3,3.4,37.2,2.7,3.5,76.8,0.7,3.3,4.0,3.2,1.2,1.2,0.6,2.4,27.4,0,0,0.5,204020,1610612748
84,85,Will Barton,DEN,26,60,31,29,28.4,13.7,4.9,11.1,44.3,1.5,3.9,37.0,2.4,3.2,75.3,1.0,3.4,4.3,3.4,1.6,0.8,0.5,1.8,26.2,2,0,-1.3,203115,1610612743
85,86,Andre Drummond,DET,23,81,36,45,29.7,13.6,6.0,11.2,53.0,0.0,0.1,28.6,1.7,4.4,38.6,4.3,9.5,13.8,1.1,1.9,1.5,1.1,2.9,37.8,49,0,-3.4,203083,1610612765
