Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Kyrie Irving,PG,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,6.1,11.3,54.1,1.349,0.57,60,60.0,32.2,24.4,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,2.2,25.03,BOS
Jaylen Brown,SG,5.3,11.5,46.5,1.7,4.4,39.5,2.1,3.3,64.4,3.6,7.1,50.7,1.2670000000000001,0.54,70,70.0,30.7,14.5,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,0.9,13.69,BOS
Jayson Tatum,SF,5.0,10.4,47.5,1.3,3.0,43.4,2.7,3.2,82.6,3.7,7.4,49.2,1.3319999999999999,0.54,80,80.0,30.5,13.9,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,1.1,15.29,BOS
Marcus Morris Sr.,SF,4.9,11.3,42.9,1.6,4.3,36.8,2.3,2.9,80.5,3.3,7.0,46.7,1.2009999999999998,0.5,54,21.0,26.7,13.6,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,1.1,14.57,BOS
Al Horford,C,5.1,10.5,48.9,1.3,3.1,42.9,1.3,1.7,78.3,3.8,7.3,51.4,1.2309999999999999,0.55,72,72.0,31.6,12.9,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,2.6,17.63,BOS
Terry Rozier,SG,4.0,10.0,39.5,1.9,5.0,38.1,1.4,1.9,77.2,2.0,5.0,41.0,1.125,0.49,80,16.0,25.9,11.3,0.8,3.9,4.7,2.9,1.0,0.2,1.0,1.5,2.9,15.12,BOS
Greg Monroe,C,4.0,7.6,53.0,0.0,0.0,0.0,2.1,2.7,79.7,4.0,7.6,53.0,1.338,0.53,26,0.0,19.1,10.2,2.0,4.3,6.3,2.3,1.1,0.7,1.8,1.8,1.2,23.04,BOS
Marcus Smart,PG,3.5,9.5,36.7,1.4,4.6,30.1,1.8,2.5,72.9,2.1,4.9,42.9,1.068,0.44,54,11.0,29.9,10.2,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,2.0,10.83,BOS
Jonathan Gibson,G,3.5,5.8,60.9,1.5,3.0,50.0,0.0,0.0,0.0,2.0,2.8,72.7,1.4780000000000002,0.74,4,0.0,10.0,8.5,0.0,0.8,0.8,1.0,0.0,0.0,0.8,1.3,1.3,25.49,BOS
Aron Baynes,C,2.6,5.5,47.1,0.0,0.3,14.3,0.7,1.0,75.6,2.6,5.2,48.7,1.081,0.47,81,67.0,18.3,6.0,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,1.2,12.09,BOS
