Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Jayson Tatum,SF,8.5,19.6,43.4,2.8,7.4,37.3,5.9,7.2,81.3,5.8,12.2,47.1,1.308,0.5,17,17.0,40.6,25.7,1.3,8.7,10.0,5.0,1.0,1.2,2.8,2.4,1.8,20.82,BOS
Jaylen Brown,SG,8.1,16.9,47.6,2.5,7.1,35.8,3.1,3.7,84.1,5.5,9.9,56.0,1.285,0.55,17,17.0,39.5,21.8,1.4,6.1,7.5,2.3,1.5,0.5,2.4,2.8,1.0,17.24,BOS
Kemba Walker,PG,6.6,15.1,44.1,2.3,7.4,31.0,4.1,4.8,85.2,4.4,7.6,56.9,1.305,0.52,17,17.0,36.9,19.6,0.4,3.7,4.1,5.1,0.9,0.4,1.9,2.5,2.7,16.94,BOS
Marcus Smart,PG,4.6,11.6,39.4,2.4,7.2,33.3,2.9,3.3,87.5,2.2,4.4,49.3,1.242,0.5,17,16.0,38.1,14.5,0.6,4.6,5.2,4.6,1.2,0.5,2.6,3.2,1.7,11.62,BOS
Gordon Hayward,SF,4.0,10.0,40.0,1.4,4.8,29.2,1.4,1.6,87.5,2.6,5.2,50.0,1.08,0.47,5,1.0,31.4,10.8,0.6,3.4,4.0,2.8,1.4,0.4,1.4,2.0,2.0,11.05,BOS
Daniel Theis,C,3.6,6.9,52.1,0.2,1.5,15.4,1.5,1.9,78.8,3.4,5.4,62.6,1.2990000000000002,0.54,17,17.0,28.4,8.9,1.9,5.2,7.1,1.5,0.4,1.2,0.9,3.9,1.7,13.43,BOS
Brad Wanamaker,PG,1.7,3.5,48.3,0.7,1.6,44.4,0.8,0.9,87.5,1.0,1.9,51.5,1.4,0.58,17,0.0,16.1,4.9,0.1,1.9,2.0,1.8,0.7,0.2,1.1,1.9,1.7,11.17,BOS
Enes Freedom,C,2.0,3.8,52.4,0.1,0.1,100.0,0.5,0.9,50.0,1.9,3.7,51.2,1.19,0.54,11,0.0,9.3,4.5,1.7,2.2,3.9,0.6,0.0,0.0,0.4,1.7,1.8,19.05,BOS
Robert Williams III,C,1.8,2.4,74.2,0.0,0.1,0.0,0.2,0.5,33.3,1.8,2.3,76.7,1.548,0.74,13,0.0,11.5,3.7,1.7,2.2,3.9,0.8,0.2,0.5,0.5,1.4,1.4,19.88,BOS
Javonte Green,SF,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,1,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.19,BOS
