,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,NONew Orleans Pelicans,5,0,1.0,-,1-0,4-0,1-0,2-0,125.6,118.2,7.4,W5,5-0
1,MILMilwaukee Bucks,5,0,1.0,-,2-0,3-0,1-0,2-0,121.2,105.2,16.0,W5,5-0
2,BOSBoston Celtics,4,0,1.0,0.5,2-0,2-0,0-0,4-0,110.8,87.0,23.8,W4,4-0
3,DENDenver Nuggets,4,0,1.0,0.5,1-0,3-0,2-0,4-0,108.3,97.8,10.5,W4,4-0
4,MIAMiami Heat,4,1,0.8,1,2-1,2-0,3-0,3-0,115.0,102.4,12.6,L1,4-1
5,PHIPhiladelphia 76ers,4,1,0.8,1,2-1,2-0,0-0,3-1,113.8,93.0,20.8,L1,4-1
6,INDIndiana Pacers,3,1,0.75,1.5,2-1,1-0,1-0,1-0,119.5,110.8,8.7,L1,3-1
7,BKNBrooklyn Nets,3,1,0.75,1.5,2-1,1-0,0-1,0-1,112.3,100.0,12.3,L1,3-1
8,HOUHouston Rockets,4,2,0.667,1.5,2-1,2-1,0-1,1-1,125.7,112.3,13.4,W1,4-2
9,SACSacramento Kings,3,2,0.6,2,2-1,1-1,1-0,2-0,118.8,115.0,3.8,W3,3-2
10,MEMMemphis Grizzlies,3,2,0.6,2,2-1,1-1,0-1,1-1,109.0,105.0,4.0,L1,3-2
11,WSHWashington Wizards,3,2,0.6,2,1-2,2-0,0-0,2-2,114.2,101.8,12.4,W1,3-2
12,DETDetroit Pistons,3,2,0.6,2,2-1,1-1,1-0,2-2,105.2,110.6,-5.4,W1,3-2
13,LALLos Angeles Lakers,3,3,0.5,2.5,2-1,1-2,3-1,3-1,107.3,103.5,3.8,L1,3-3
14,ORLOrlando Magic,3,3,0.5,2.5,0-3,3-0,1-1,2-3,100.7,100.2,0.5,L3,3-3
15,PHXPhoenix Suns,2,2,0.5,2.5,1-1,1-1,0-1,2-2,108.8,109.0,-0.2,L1,2-2
16,OKCOklahoma City Thunder,2,2,0.5,2.5,2-1,0-1,0-0,1-2,104.5,104.8,-0.3,L2,2-2
17,TORToronto Raptors,2,2,0.5,2.5,1-1,1-1,1-0,1-1,114.8,114.8,0.0,W1,2-2
18,SASan Antonio Spurs,2,3,0.4,3,1-2,1-1,2-1,2-1,104.8,112.0,-7.2,W2,2-3
19,DALDallas Mavericks,2,3,0.4,3,1-1,1-2,0-0,2-1,108.2,103.6,4.6,W2,2-3
20,CHIChicago Bulls,2,3,0.4,3,1-2,1-1,0-2,2-2,108.0,107.6,0.4,W2,2-3
21,GSGolden State Warriors,2,3,0.4,3,2-1,0-2,1-3,2-3,111.8,115.8,-4.0,W1,2-3
22,MINMinnesota Timberwolves,2,3,0.4,3,1-0,1-3,0-0,0-2,115.0,116.8,-1.8,L1,2-3
23,PORPortland Trail Blazers,2,3,0.4,3,1-2,1-1,1-2,1-3,109.2,107.0,2.2,L1,2-3
24,LACLA Clippers,2,3,0.4,3,2-3,0-0,0-0,0-3,104.0,101.8,2.2,L1,2-3
25,NYNew York Knicks,1,3,0.25,3.5,0-3,1-0,0-0,1-2,103.8,107.8,-4.0,L3,1-3
26,CLECleveland Cavaliers,1,3,0.25,3.5,1-1,0-2,0-1,0-3,98.0,108.5,-10.5,L3,1-3
27,ATLAtlanta Hawks,1,4,0.2,4,0-2,1-2,0-2,1-3,95.4,111.4,-16.0,L1,1-4
28,UTAHUtah Jazz,1,4,0.2,4,1-2,0-2,0-1,0-3,118.4,119.2,-0.8,L4,1-4
29,CHACharlotte Hornets,1,4,0.2,4,0-3,1-1,0-1,0-4,103.4,106.0,-2.6,L1,1-4
