Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
z --MILMilwaukee Bucks,56,17,0.767,-,30-5,26-12,13-1,37-7,118.7,108.6,10.1,L1,3-7
y --TORToronto Raptors,53,19,0.736,2.5,26-10,27-9,9-5,34-11,112.8,106.5,6.3,W4,9-1
z --LALLos Angeles Lakers,52,19,0.732,3,25-10,27-9,10-3,36-10,113.4,107.6,5.8,L1,4-6
x --LACLA Clippers,49,23,0.6809999999999999,6.5,27-9,22-14,8-6,32-16,116.3,109.9,6.4,W2,6-4
x --BOSBoston Celtics,48,24,0.667,7.5,26-10,22-14,9-6,30-13,113.7,107.3,6.4,L1,6-4
y --DENDenver Nuggets,46,27,0.63,10,26-11,20-16,12-2,29-16,111.3,109.2,2.1,L3,4-6
x --INDIndiana Pacers,45,28,0.616,11,25-11,20-17,8-7,28-19,109.4,107.5,1.9,W2,7-3
y --HOUHouston Rockets,44,28,0.611,11.5,24-12,20-16,8-5,28-19,117.8,114.8,3.0,L3,5-5
x --OKCOklahoma City Thunder,44,28,0.611,11.5,23-14,21-14,8-5,27-19,110.4,108.4,2.0,L1,6-4
x --UTAHUtah Jazz,44,28,0.611,11.5,23-12,21-16,5-7,24-21,111.3,108.8,2.5,W1,4-6
y --MIAMiami Heat,44,29,0.603,12,29-7,15-22,10-4,30-13,112.0,109.1,2.9,L2,4-6
x --PHIPhiladelphia 76ers,43,30,0.589,13,31-4,12-26,11-5,28-18,110.7,108.4,2.3,W1,5-5
x --DALDallas Mavericks,43,32,0.573,14,20-18,23-14,10-4,27-20,117.0,112.1,4.9,L2,4-6
x --BKNBrooklyn Nets,35,37,0.486,20.5,20-16,15-21,6-10,23-23,111.8,112.4,-0.6,L1,7-3
xp --PORPortland Trail Blazers,35,39,0.473,21.5,21-15,14-24,5-8,20-27,115.0,116.1,-1.1,W3,7-3
pb --MEMMemphis Grizzlies,34,39,0.466,22,20-17,14-22,4-9,20-26,112.6,113.7,-1.1,W1,3-7
e --PHXPhoenix Suns,34,39,0.466,22,17-22,17-17,6-9,19-27,113.6,113.4,0.2,W8,9-1
x --ORLOrlando Magic,33,40,0.452,23,18-17,15-23,9-5,20-23,107.3,108.3,-1.0,W1,5-5
e --SASan Antonio Spurs,32,39,0.451,23,19-15,13-24,7-6,20-23,114.1,115.2,-1.1,L1,6-4
e --SACSacramento Kings,31,41,0.431,24.5,16-19,15-22,8-5,23-23,110.1,112.1,-2.0,W2,4-6
e --NONew Orleans Pelicans,30,42,0.41700000000000004,25.5,15-21,15-21,4-9,18-30,115.8,117.1,-1.3,L3,4-6
e --CHACharlotte Hornets,23,42,0.354,29,10-21,13-21,2-7,16-24,102.9,109.6,-6.7,W1,4-6
e --WSHWashington Wizards,25,47,0.34700000000000003,30.5,16-20,9-27,5-9,18-27,114.4,119.1,-4.7,W1,2-8
e --CHIChicago Bulls,22,43,0.33799999999999997,30,14-20,8-23,7-9,15-28,106.8,109.9,-3.1,W1,3-7
e --NYNew York Knicks,21,45,0.318,31.5,11-22,10-23,2-11,15-28,105.8,112.3,-6.5,W1,4-6
e --DETDetroit Pistons,20,46,0.303,32.5,11-22,9-24,5-10,12-31,107.2,110.8,-3.6,L5,1-9
e --ATLAtlanta Hawks,20,47,0.299,33,14-20,6-27,6-7,11-32,111.8,119.7,-7.9,L1,4-6
e --MINMinnesota Timberwolves,19,45,0.297,32.5,8-24,11-21,2-10,9-30,113.3,117.5,-4.2,L3,3-7
e --CLECleveland Cavaliers,19,46,0.292,33,11-25,8-21,4-10,12-32,106.9,114.8,-7.9,L1,4-6
e --GSGolden State Warriors,15,50,0.231,37,8-26,7-24,2-11,9-34,106.3,115.0,-8.7,L1,3-7
