ID,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
GS,Golden State Warriors,29,8,0.784,-,17-3,12-5,7-1,16-5,110.5,101.4,9.1,L1,7-3
PHX,Phoenix Suns,29,8,0.784,-,16-4,13-4,4-4,19-7,112.6,104.9,7.7,W2,7-3
UTAH,Utah Jazz,28,10,0.737,1.5,14-7,14-3,9-0,18-4,116.0,106.2,9.8,W2,8-2
CHI,Chicago Bulls,25,10,0.7140000000000001,3,13-4,12-6,4-2,16-7,110.7,107.0,3.7,W8,8-2
BKN,Brooklyn Nets,24,12,0.667,4.5,10-9,14-3,6-1,18-7,110.8,107.8,3.0,W1,6-4
MEM,Memphis Grizzlies,25,14,0.6409999999999999,5,13-8,12-6,4-2,19-9,111.3,108.1,3.2,W6,7-3
MIL,Milwaukee Bucks,25,15,0.625,5.5,13-7,12-8,6-2,17-11,112.1,108.0,4.1,L2,6-4
MIA,Miami Heat,24,15,0.615,6,12-4,12-11,6-1,16-7,108.1,104.3,3.8,W1,7-3
PHI,Philadelphia 76ers,21,16,0.568,8,7-8,14-8,3-6,14-10,107.1,106.1,1.0,W5,6-4
CLE,Cleveland Cavaliers,21,17,0.5529999999999999,8.5,11-9,10-8,4-1,14-9,107.7,102.6,5.1,L1,6-4
DAL,Dallas Mavericks,20,18,0.526,9.5,10-8,10-10,7-2,17-10,104.9,103.4,1.5,W4,6-4
TOR,Toronto Raptors,18,17,0.514,10,10-10,8-7,5-5,12-11,107.9,106.8,1.1,W4,7-3
LAL,Los Angeles Lakers,20,19,0.513,10,13-10,7-9,2-5,12-13,111.3,112.0,-0.7,W3,4-6
CHA,Charlotte Hornets,20,19,0.513,10,10-5,10-14,5-3,12-9,115.5,116.6,-1.1,W1,5-5
LAC,LA Clippers,19,19,0.5,10.5,12-11,7-8,3-4,12-15,105.5,105.7,-0.2,L1,3-7
WSH,Washington Wizards,19,19,0.5,10.5,10-7,9-12,4-5,13-12,107.1,109.3,-2.2,L1,4-6
DEN,Denver Nuggets,18,18,0.5,10.5,8-7,10-11,2-5,11-11,105.9,106.3,-0.4,L2,5-5
MIN,Minnesota Timberwolves,18,20,0.474,11.5,11-10,7-10,3-4,13-13,108.1,108.4,-0.3,W2,5-5
BOS,Boston Celtics,18,20,0.474,11.5,11-8,7-12,4-4,12-10,107.9,106.9,1.0,L1,4-6
NY,New York Knicks,18,20,0.474,11.5,8-11,10-9,3-5,12-16,104.7,105.4,-0.7,W1,6-4
ATL,Atlanta Hawks,17,20,0.45899999999999996,12,8-9,9-11,4-3,10-12,111.1,111.0,0.1,W1,4-6
SA,San Antonio Spurs,15,22,0.405,14,7-10,8-12,1-4,8-15,110.9,110.4,0.5,W1,5-5
SAC,Sacramento Kings,16,24,0.4,14.5,10-13,6-11,4-6,11-17,109.4,113.8,-4.4,L2,4-6
POR,Portland Trail Blazers,14,23,0.37799999999999995,15,12-10,2-13,1-4,7-18,109.0,113.2,-4.2,L1,3-7
IND,Indiana Pacers,14,25,0.359,16,11-10,3-15,2-7,8-20,107.7,107.9,-0.2,L6,2-8
OKC,Oklahoma City Thunder,13,24,0.35100000000000003,16,8-11,5-13,1-3,10-17,99.5,106.8,-7.3,L2,5-5
NO,New Orleans Pelicans,13,25,0.342,16.5,7-11,6-14,2-4,8-16,105.4,110.7,-5.3,L3,5-5
HOU,Houston Rockets,11,28,0.282,19,7-10,4-18,1-3,4-15,107.5,115.5,-8.0,W1,2-8
DET,Detroit Pistons,7,29,0.19399999999999998,21.5,4-13,3-16,2-6,5-18,101.4,110.9,-9.5,L1,3-7
ORL,Orlando Magic,7,32,0.179,23,2-14,5-18,1-8,4-24,101.9,111.5,-9.6,L7,2-8
